Fecha,Abrir,Alto,Bajo,Cierre*,Cierre ajustado**,Volumen
31-may-20,1740.40,1793.20,1668.60,1793.00,1793.00,16436.00
30-abr-20,1686.60,1770.50,1670.50,1736.90,1736.90,168568.00
31-mar-20,1570.00,1775.00,1570.00,1684.20,1684.20,14324.00
01-feb-20,1592.90,1686.60,1547.70,1564.10,1564.10,9617.00
01-ene-20,1518.10,1604.20,1518.00,1582.90,1582.90,316262.00
31-oct-19,1511.00,1511.60,1447.10,1465.60,1465.60,443701.00
30-sep-19,1468.70,1518.20,1458.30,1511.40,1511.40,5233.00
31-jul-19,1411.30,1549.30,1400.90,1519.10,1519.10,17142.00
30-jun-19,1386.60,1444.20,1382.80,1426.10,1426.10,302051.00
31-may-19,1307.00,1433.30,1307.00,1409.70,1409.70,6517.00
30-abr-19,1278.70,1306.40,1266.60,1305.80,1305.80,248448.00
31-mar-19,1291.80,1309.10,1266.00,1282.80,1282.80,6961.00
01-mar-19,1312.20,1322.90,1281.00,1293.00,1293.00,295700.00
01-feb-19,1320.30,1344.00,1301.60,1312.80,1312.80,7989.00
01-ene-19,1286.00,1325.40,1275.30,1319.70,1319.70,270998.00
01-dic-18,1222.50,1281.30,1221.30,1278.30,1278.30,4402.00
31-oct-18,1215.40,1236.00,1196.30,1220.20,1220.20,304805.00
30-sep-18,1191.60,1238.60,1183.70,1212.30,1212.30,4126.00
31-ago-18,1193.80,1206.20,1180.00,1191.50,1191.50,23406.00
31-jul-18,1222.90,1223.70,1161.40,1200.30,1200.30,5996.00
31-may-18,1298.60,1307.70,1244.80,1251.30,1251.30,5166.00
30-abr-18,1313.20,1320.80,1285.20,1300.10,1300.10,441893.00
01-mar-18,1310.40,1354.40,1301.80,1322.80,1322.80,356297.00
01-feb-18,1343.80,1361.40,1307.00,1315.50,1315.50,10243.00
01-ene-18,1302.30,1362.40,1302.30,1339.00,1339.00,338322.00
01-dic-17,1274.10,1306.30,1236.50,1306.30,1306.30,7596.00
31-oct-17,1272.20,1296.20,1265.30,1273.20,1273.20,326214.00
31-ago-17,1320.20,1355.80,1277.00,1281.50,1281.50,26808.00
31-jul-17,1268.40,1323.80,1251.40,1316.20,1316.20,10098.00
30-jun-17,1236.00,1270.80,1208.60,1266.60,1266.60,292633.00
31-may-17,1268.00,1295.20,1238.10,1240.70,1240.70,8948.00
30-abr-17,1268.70,1273.20,1214.00,1272.00,1272.00,404733.00
31-mar-17,1247.50,1294.80,1243.00,1266.10,1266.10,9065.00
01-mar-17,1247.80,1257.70,1196.20,1247.30,1247.30,251026.00
01-feb-17,1211.90,1263.10,1197.90,1252.60,1252.60,11087.00
01-dic-16,1172.70,1186.70,1123.90,1150.00,1150.00,9972.00
31-oct-16,1279.30,1318.60,1167.90,1170.80,1170.80,242622.00
30-sep-16,1313.50,1316.80,1248.90,1271.50,1271.50,5775.00
31-ago-16,1305.30,1350.50,1301.50,1313.30,1313.30,18630.00
31-jul-16,1348.80,1366.00,1306.30,1306.90,1306.90,11854.00
30-jun-16,1324.50,1374.90,1312.80,1349.00,1349.00,281653.00
31-may-16,1215.70,1355.60,1205.40,1318.40,1318.40,13380.00
31-mar-16,1232.30,1295.50,1209.20,1289.20,1289.20,9954.00
01-mar-16,1240.50,1280.70,1210.00,1234.20,1234.20,244751.00
01-feb-16,1116.70,1260.80,1115.30,1233.90,1233.90,13930.00
01-ene-16,1063.40,1125.70,1063.20,1116.40,1116.40,229558.00
01-dic-15,1064.60,1098.80,1046.20,1060.30,1060.30,10149.00
30-sep-15,1115.20,1189.00,1105.80,1141.50,1141.50,4321.00
31-ago-15,1133.50,1155.90,1098.20,1115.50,1115.50,9119.00
31-jul-15,1095.50,1169.00,1080.50,1131.60,1131.60,13251.00
30-jun-15,1173.10,1173.10,1078.60,1094.90,1094.90,216892.00
31-may-15,1190.60,1204.00,1164.00,1171.50,1171.50,6252.00
30-abr-15,1178.10,1228.10,1170.00,1189.40,1189.40,258123.00
31-mar-15,1182.90,1224.20,1174.60,1182.40,1182.40,7838.00
01-ene-15,1184.00,1303.50,1169.50,1278.50,1278.50,258615.00
01-dic-14,1160.00,1238.00,1141.70,1183.90,1183.90,11140.00
31-oct-14,1166.40,1202.40,1133.00,1175.20,1175.20,299410.00
30-sep-14,1207.70,1251.00,1161.40,1171.10,1171.10,4510.00
31-ago-14,1284.50,1286.40,1204.00,1210.50,1210.50,27705.00
31-jul-14,1284.10,1321.40,1272.00,1285.80,1285.80,9633.00
30-jun-14,1326.70,1343.70,1280.60,1281.30,1281.30,224607.00
30-abr-14,1288.70,1314.20,1241.80,1245.60,1245.60,211143.00
31-mar-14,1285.10,1330.00,1272.40,1295.60,1295.60,8265.00
01-mar-14,1335.90,1391.40,1282.40,1283.40,1283.40,255794.00
01-feb-14,1242.40,1343.90,1241.20,1321.40,1321.40,11943.00
01-ene-14,1204.30,1269.40,1204.30,1240.10,1240.10,189701.00
31-oct-13,1325.70,1325.70,1229.00,1250.60,1250.60,270667.00
30-sep-13,1328.00,1359.70,1254.10,1323.60,1323.60,2723.00
31-jul-13,1323.00,1428.00,1274.00,1396.10,1396.10,10507.00
30-jun-13,1234.70,1343.50,1208.90,1312.40,1312.40,186170.00
31-may-13,1389.10,1422.70,1183.20,1223.80,1223.80,12739.00
30-abr-13,1475.80,1487.10,1342.90,1392.60,1392.60,222108.00
31-mar-13,1596.80,1602.60,1323.00,1472.20,1472.20,14648.00
01-mar-13,1579.60,1613.80,1561.80,1594.80,1594.80,223847.00
01-feb-13,1663.90,1683.40,1555.20,1577.70,1577.70,11784.00
01-ene-13,1672.80,1694.70,1625.70,1660.60,1660.60,197723.00
01-dic-12,1714.90,1722.30,1635.80,1674.80,1674.80,7061.00
31-oct-12,1722.30,1751.30,1674.10,1710.90,1710.90,345777.00
30-sep-12,1766.00,1794.80,1698.60,1717.50,1717.50,2741.00
31-ago-12,1689.10,1785.30,1687.70,1771.10,1771.10,25557.00
31-jul-12,1613.40,1690.00,1583.10,1684.60,1684.60,11783.00
31-may-12,1560.00,1639.70,1545.50,1603.50,1603.50,11162.00
30-abr-12,1665.00,1670.50,1528.50,1562.60,1562.60,345507.00
01-mar-12,1698.60,1724.60,1633.80,1669.30,1669.30,254540.00
01-feb-12,1738.20,1790.40,1669.00,1709.90,1709.90,9587.00
01-dic-11,1747.00,1762.90,1525.00,1565.80,1565.80,11311.00
31-oct-11,1706.70,1798.40,1674.40,1745.50,1745.50,257009.00
30-sep-11,1627.80,1752.00,1596.60,1724.20,1724.20,2715.00
31-ago-11,1825.80,1911.60,1562.40,1620.40,1620.40,31848.00
31-jul-11,1623.00,1909.30,1607.00,1828.50,1828.50,25647.00
30-jun-11,1502.20,1634.90,1480.00,1628.30,1628.30,309932.00
31-may-11,1535.70,1558.50,1490.70,1502.30,1502.30,15027.00
31-mar-11,1433.40,1568.70,1413.00,1556.00,1556.00,15801.00
01-mar-11,1415.30,1446.90,1385.50,1438.90,1438.90,194338.00
01-feb-11,1333.10,1415.70,1324.90,1409.30,1409.30,14468.00
01-ene-11,1415.60,1423.90,1307.70,1333.80,1333.80,299379.00
01-dic-10,1386.80,1431.10,1362.50,1421.10,1421.10,16511.00
31-oct-10,1360.30,1423.20,1327.50,1385.00,1385.00,245327.00
30-sep-10,1309.00,1383.90,1309.00,1357.10,1357.10,3190.00
31-ago-10,1246.30,1315.20,1240.00,1307.80,1307.80,33200.00
30-jun-10,1206.30,1242.40,1158.00,1181.70,1181.70,267525.00
31-may-10,1224.80,1264.80,1196.90,1245.50,1245.50,16703.00
30-abr-10,1178.60,1246.50,1159.20,1212.20,1212.20,361661.00
31-mar-10,1125.10,1181.30,1111.30,1180.10,1180.10,10917.00
01-mar-10,1119.30,1145.00,1085.50,1113.30,1113.30,222583.00
01-feb-10,1081.00,1127.40,1045.20,1118.30,1118.30,18209.00
01-ene-10,1117.70,1161.20,1073.20,1083.00,1083.00,320664.00
01-dic-09,1181.00,1226.40,1075.00,1095.20,1095.20,24177.00
30-sep-09,1007.40,1070.20,986.80,1039.70,1039.70,3699.00
31-ago-09,954.20,1019.80,948.70,1008.00,1008.00,15642.00
31-jul-09,952.60,971.10,931.50,951.70,951.70,7492.00
30-jun-09,929.30,958.10,905.60,953.70,953.70,177420.00
31-may-09,978.80,990.30,917.30,927.10,927.10,12773.00
30-abr-09,884.00,980.40,881.50,978.80,978.80,234559.00
31-mar-09,918.60,932.50,865.00,890.70,890.70,17300.00
01-ene-09,881.50,930.30,805.60,927.30,927.30,215420.00
01-dic-08,817.20,883.60,740.00,883.60,883.60,9599.00
31-oct-08,728.80,824.00,707.00,816.20,816.20,377779.00
30-sep-08,878.00,925.70,681.00,716.80,716.80,3365.00
31-ago-08,829.90,919.00,739.00,874.20,874.20,18800.00
31-jul-08,904.90,916.10,780.90,829.30,829.30,9253.00
30-jun-08,943.60,986.20,893.30,913.90,913.90,250610.00
30-abr-08,855.00,925.60,849.60,887.30,887.30,221797.00
31-mar-08,915.00,948.70,863.00,862.80,862.80,13006.00
01-mar-08,984.20,1014.60,912.00,916.20,916.20,216432.00
01-feb-08,924.80,973.10,884.70,972.10,972.10,8233.00
01-ene-08,848.70,936.30,846.40,922.70,922.70,231851.00
01-dic-07,783.90,843.20,777.00,834.90,834.90,7681.00
31-oct-07,785.30,841.30,777.60,782.20,782.20,239351.00
30-sep-07,745.10,795.40,724.30,792.00,792.00,2720.00
31-ago-07,672.50,745.70,672.50,742.80,742.80,27393.00
31-jul-07,663.20,676.20,642.90,673.00,673.00,8547.00
31-may-07,661.50,674.00,640.00,648.10,648.10,4027.00
30-abr-07,673.70,688.00,651.00,661.00,661.00,158741.00
01-mar-07,673.00,673.00,640.00,663.00,663.00,52996.00
01-feb-07,652.90,687.70,642.00,669.40,669.40,3981.00
01-ene-07,635.20,655.50,607.00,652.00,652.00,101525.00
01-dic-06,645.70,649.70,612.00,635.20,635.20,3823.00
01-nov-06,612.50,648.00,612.50,646.90,646.90,114115.00
31-ago-06,624.40,638.50,576.40,598.60,598.60,17592.00
31-jul-06,635.40,656.00,609.00,625.90,625.90,4608.00
30-jun-06,631.00,677.00,612.70,634.20,634.20,99344.00
31-may-06,642.80,645.10,555.00,613.50,613.50,6197.00
30-abr-06,658.00,723.00,637.00,642.50,642.50,137161.00
01-abr-06,582.00,651.80,582.00,651.80,651.80,8121.00
01-mar-06,562.50,589.60,539.90,581.80,581.80,94801.00
01-feb-06,570.80,575.30,535.50,561.60,561.60,10165.00
01-dic-05,494.20,538.50,490.10,517.10,517.10,12240.00
01-nov-05,463.00,502.30,455.30,494.60,494.60,157642.00
30-sep-05,467.80,478.50,460.50,465.10,465.10,2106.00
31-ago-05,438.50,474.00,438.50,469.00,469.00,11805.00
31-jul-05,430.00,449.50,429.10,433.80,433.80,3085.00
30-jun-05,427.80,430.50,419.60,429.90,429.90,44574.00
31-may-05,416.40,442.50,414.00,435.90,435.90,6950.00
01-abr-05,428.30,438.20,422.70,435.00,435.00,2579.00
01-mar-05,435.00,446.40,424.70,428.70,428.70,3171.00
01-feb-05,422.20,436.00,410.10,436.50,436.50,8468.00
01-ene-05,431.00,431.00,418.70,421.80,421.80,115342.00
01-dic-04,451.60,456.50,432.60,437.50,437.50,12728.00
01-nov-04,427.30,454.80,424.60,451.30,451.30,183608.00
30-sep-04,419.10,430.00,410.30,428.50,428.50,2646.00
31-ago-04,407.30,418.80,396.80,418.70,418.70,16144.00
30-jun-04,396.00,408.10,385.00,391.00,391.00,116575.00
31-may-04,393.90,405.00,383.00,392.60,392.60,6207.00
30-abr-04,387.00,396.30,375.80,394.00,394.00,144835.00
01-abr-04,427.20,432.00,380.00,387.00,387.00,6579.00
01-mar-04,396.40,428.00,391.10,427.30,427.30,105746.00
01-ene-04,415.70,428.20,396.50,402.20,402.20,132663.00
01-dic-03,397.20,417.20,397.00,415.70,415.70,10267.00
01-nov-03,382.80,402.00,377.00,396.80,396.80,165003.00
30-sep-03,385.50,394.00,368.00,384.50,384.50,3594.00
31-ago-03,375.00,388.70,372.90,385.40,385.40,16207.00
31-jul-03,354.10,375.00,346.00,375.70,375.70,5743.00
30-jun-03,351.40,364.80,342.10,354.00,354.00,86330.00
30-abr-03,339.00,370.00,339.00,364.50,364.50,164025.00
01-abr-03,336.00,338.40,319.30,339.10,339.10,3097.00
01-mar-03,349.20,356.80,326.00,335.90,335.90,6100.00
01-feb-03,368.00,388.90,342.00,350.20,350.20,6928.00
01-ene-03,346.10,372.00,345.20,368.30,368.30,8298.00
01-nov-02,318.80,324.50,316.50,316.80,316.80,54551.00
30-sep-02,322.00,322.90,309.80,318.00,318.00,3849.00
31-jul-02,303.20,318.00,298.00,312.40,312.40,3256.00
30-jun-02,314.00,323.90,300.80,303.20,303.20,28530.00
31-may-02,326.60,330.30,313.50,313.50,313.50,5817.00
30-abr-02,309.10,329.00,306.80,326.50,326.50,29743.00
01-abr-02,302.60,312.50,297.50,308.90,308.90,2226.00
01-mar-02,298.00,304.50,289.90,302.60,302.60,29465.00
01-feb-02,282.30,308.00,282.20,296.70,296.70,3964.00
01-ene-02,278.90,287.40,278.10,282.10,282.10,28613.00
01-dic-01,273.50,281.30,271.20,278.70,278.70,2157.00
01-nov-01,279.70,281.00,272.30,273.90,273.90,27949.00
30-sep-01,291.80,292.90,275.50,279.50,279.50,893.00
31-ago-01,271.60,294.00,271.60,292.40,292.40,3137.00
31-jul-01,266.20,279.30,265.80,274.40,274.40,1817.00
31-may-01,264.70,277.00,264.50,270.60,270.60,1350.00
30-abr-01,264.40,287.40,264.20,265.30,265.30,32850.00
01-mar-01,265.20,271.60,256.60,257.90,257.90,31161.00
01-feb-01,266.30,268.90,255.00,266.80,266.80,1066.00
01-ene-01,268.40,268.40,262.80,265.60,265.60,17811.00
